Artist,Streams,Dancebility,Valence,Energy,Acousticness,Instrumentalness,Liveness,Speechiness
"Karol G, Romeo Santos",266624541,79.0,58.0,78.0,34.0,0.0,11.0,25.0
"Karol G, Shakira",618990393,72.0,61.0,63.0,67.0,0.0,9.0,28.0
Kate Bush,1024858327,63.0,20.0,55.0,72.0,0.0,6.0,6.0
"Katy Perry, Alesso",226897599,69.0,70.0,89.0,4.0,0.0,49.0,3.0
Keane,1089402494,45.0,33.0,59.0,6.0,0.0,8.0,3.0
Keisya Levronka,184807630,49.0,14.0,40.0,82.0,0.0,11.0,3.0
Kelly Clarkson,485285717,51.0,69.0,81.0,0.0,0.0,21.0,5.0
Kendrick Lamar,3033135947,64.58333333333333,50.0,52.916666666666664,51.25,0.08333333333333333,14.416666666666666,20.5
"Kendrick Lamar, Baby Keem",560222750,71.0,14.0,61.0,1.0,0.0,23.0,33.0
"Kendrick Lamar, Beth Gibbons",33381454,49.0,50.0,37.0,87.0,0.0,11.0,35.0
"Kendrick Lamar, Beyoncï¿",57089066,78.0,20.0,70.0,1.0,0.0,16.0,4.0
"Kendrick Lamar, Blxst, Amanda Reifer",237351106,78.0,40.0,74.0,36.0,0.0,17.0,27.0
"Kendrick Lamar, Ghostface Killah, Summer Walker",76831876,57.0,71.0,82.0,19.0,0.0,15.0,29.0
"Kendrick Lamar, Jay Rock",1093605526,74.0,37.0,53.0,7.0,0.0,21.0,10.0
"Kendrick Lamar, Kodak Black",123216717,92.0,78.0,57.0,46.0,0.0,14.0,9.0
"Kendrick Lamar, Sam Dew, Baby Keem",86176890,61.0,66.0,71.0,53.0,0.0,32.0,46.0
"Kendrick Lamar, Sampha",127309180,55.0,50.0,78.0,19.0,0.0,11.0,35.0
"Kendrick Lamar, Tanna Leone",58687425,73.0,26.0,54.0,30.0,0.0,34.0,32.0
"Kendrick Lamar, Taylour Paige",68895644,65.0,52.0,69.0,31.0,0.0,8.0,36.0
Kenia OS,156214700,81.0,64.0,79.0,5.0,0.0,31.0,3.0
Kenshi Yonezu,210038833,58.0,29.0,94.0,0.0,0.0,9.0,11.0
"Kevin Gates, Juicy J",109091573,77.0,68.0,70.0,6.0,0.0,17.0,20.0
Kevin Kaarl,244891912,58.0,27.0,36.0,86.0,0.0,9.0,3.0
King,319566866,70.0,40.0,51.0,35.0,0.0,10.0,4.0
Kodak Black,342779426,83.0,11.0,41.0,0.0,0.0,36.0,14.0
"Kodak Black, NLE Choppa, Muni Long, JVKE, Jimin",133753727,53.0,24.0,67.0,11.0,0.0,10.0,28.0
Kordhell,448843705,71.0,57.0,97.0,1.0,0.0,13.0,11.0
"L7nnon, DJ Biel do Furduncinho, Bianca",176103902,95.0,83.0,57.0,54.0,0.0,10.0,25.0
LE SSERAFIM,530549573,87.0,62.5,71.0,6.5,0.0,12.0,11.0
LF System,244790012,58.0,68.0,91.0,2.0,0.0,27.0,11.0
Labrinth,2312730131,43.0,31.857142857142858,47.714285714285715,44.0,16.142857142857142,18.857142857142858,10.0
"Labrinth, Zendaya",426204830,37.0,17.0,67.0,2.0,0.0,34.0,9.0
Lady Gaga,610826730,55.0,35.0,64.0,3.5,0.0,27.0,3.0
"Lady Gaga, Bradley Cooper",2159346687,57.0,30.0,40.0,38.0,0.0,26.0,3.0
Lana Del Rey,1396024922,49.0,20.333333333333332,62.333333333333336,33.0,3.0,10.666666666666666,5.0
"Lana Del Rey, Taylor Swift",60350538,66.0,32.0,40.0,81.0,0.0,11.0,3.0
Lasso,263280370,81.0,72.0,65.0,4.0,0.0,14.0,4.0
"Latto, Jung Kook",141381703,80.0,89.0,83.0,31.0,0.0,8.0,4.0
Lauren Spencer Smith,184826429,70.0,31.0,44.0,84.0,0.0,9.0,39.0
"Lauren Spencer Smith, Lauren Spencer Smith, Lauren Spencer Smith",349585590,60.0,45.0,47.0,62.0,0.0,31.0,5.0
Leah Kate,185550869,54.0,45.0,79.0,1.0,0.0,17.0,5.0
Leo Santana,134294498,81.0,97.0,77.0,75.0,0.0,35.0,3.0
Lewis Capaldi,4734698360,54.0,45.333333333333336,58.333333333333336,56.0,0.0,18.666666666666668,4.333333333333333
Libianca,373199958,59.0,71.0,42.0,55.0,0.0,10.0,7.0
Lil Baby,187339412,72.0,22.0,64.0,1.0,0.0,10.5,40.0
"Lil Durk, Morgan Wallen",46065667,76.0,61.0,58.0,6.0,0.0,16.0,3.0
Lil Nas X,2988745319,66.33333333333333,54.0,69.33333333333333,15.333333333333334,0.0,17.333333333333332,14.0
Lil Tjay,190981339,68.0,41.0,55.0,16.0,0.0,10.0,12.0
Lil Uzi Vert,457184829,49.0,4.0,55.0,7.0,0.0,6.0,3.0
Lil Yachty,115331792,70.0,26.0,56.0,14.0,83.0,11.0,5.0
Linkin Park,2985590613,52.5,32.0,88.0,0.5,0.0,48.0,5.0
Lisa,863625566,83.0,40.0,55.0,16.0,0.0,14.0,23.0
"Lit Killah, Maria Becerra, Tiago pzk, NICKI NICOLE",236940480,70.0,61.0,44.0,40.0,0.0,37.0,4.0
Lizzo,1695478069,80.0,78.66666666666667,75.0,9.666666666666666,0.0,25.333333333333332,8.333333333333334
Lizzy McAlpine,293186992,51.0,27.0,33.0,48.0,0.0,22.0,3.0
Lord Huron,1410088830,45.0,10.0,37.0,97.0,25.0,64.0,4.0
Loreen,201660859,55.0,30.0,78.0,24.0,0.0,12.0,8.0
"Lost Frequencies, Calum Scott",972509632,67.0,26.0,64.0,52.0,0.0,17.0,10.0
Luar La L,273914335,70.0,46.0,76.0,30.0,0.0,9.0,45.0
Luciano,160035717,84.0,61.0,42.0,31.0,0.0,9.0,9.0
"Luciano, Aitch, Bï¿½",146223492,80.0,82.0,81.0,14.0,0.0,13.0,36.0
"Ludwig Goransson, Foudeqush",71095708,62.0,25.0,44.0,51.0,33.0,14.0,3.0
"Luis R Conriquez, La Adictiva",323455692,70.0,97.0,59.0,55.0,0.0,27.0,12.0
Luke Combs,157058870,71.0,67.0,60.0,19.0,0.0,12.0,3.0
"Luude, Colin Hay",252871192,31.0,4.0,86.0,1.0,0.0,28.0,17.0
"Luï¿½ï¿½sa Sonza, MC Frog, Dj Gabriel do Borel, Davi K",176290831,93.0,77.0,45.0,25.0,0.0,13.0,27.0
"MC Caverinha, KayBlack",71573339,84.0,55.0,47.0,26.0,0.0,20.0,64.0
"MC Ryan SP, Love Funk, Mc Paiva ZS",187701588,59.0,62.0,60.0,12.0,0.0,5.0,44.0
"MC Xenon, Os Gemeos da Putaria",93587665,53.0,40.0,36.0,73.0,0.0,11.0,33.0
"MNEK, Jax Jones",300983101,77.0,53.0,78.0,19.0,0.0,29.0,4.0
"Mabel Matiz, Mert Demir",136689549,70.0,92.0,59.0,3.0,0.0,10.0,3.0
Mac DeMarco,244658767,90.0,64.0,14.0,67.0,35.0,11.0,10.0
Mae Stephens,165584767,90.0,96.0,73.0,62.0,0.0,9.0,4.0
Mahalini,166570053,56.0,20.0,43.0,89.0,0.0,12.0,4.0
"Mahmood, Blanco",135079152,52.0,44.0,60.0,40.0,0.0,26.0,3.0
"Mainstreet, Chefin",143139338,79.0,86.0,52.0,66.0,0.0,9.0,7.0
"Maldy, Karol G",322336177,63.0,34.0,86.0,26.0,0.0,21.0,39.0
Maluma,513643924,76.0,63.0,77.0,14.0,0.0,15.0,22.0
"Mambo Kingz, DJ Luian, Anuel Aa",197257295,72.0,54.5,66.5,26.0,0.0,10.5,6.5
Manuel Turizo,1214083358,84.0,85.0,68.0,58.0,0.0,22.0,4.0
Maria Becerra,43857627,68.0,40.0,79.0,33.0,0.0,30.0,6.0
Mariah Carey,1449779435,34.0,33.0,63.0,16.0,0.0,7.0,4.0
Maroon 5,1759567999,77.0,60.0,32.0,84.0,0.0,8.0,5.0
"Maroon 5, Wiz Khalifa",1479264469,74.0,51.0,74.0,2.0,0.0,29.0,4.0
"Marshmello, Jonas Brothers",651732901,72.0,67.0,72.0,0.0,0.0,13.0,4.0
"Marshmello, Juice WRLD",84697729,65.0,24.0,53.0,6.0,0.0,51.0,4.0
"Marshmello, Khalid",295307001,91.0,63.0,77.0,12.0,1.0,10.0,5.0
"Marshmello, Manuel Turizo",223633238,78.0,70.0,68.0,3.0,1.0,11.0,4.0
Marï¿½ï¿½lia Mendo,267789608,74.0,79.0,87.0,45.0,0.0,30.0,3.0
"Marï¿½ï¿½lia Mendonï¿½ï¿½a, George Henrique &",263894529,46.0,62.0,83.0,53.0,0.0,97.0,28.0
"Marï¿½ï¿½lia Mendonï¿½ï¿½a, Hugo & G",291709698,73.0,68.0,83.0,55.0,0.0,90.0,7.0
"Marï¿½ï¿½lia Mendonï¿½ï¿½a, Maiara &",258316038,80.0,62.0,69.0,28.0,0.0,13.0,7.0
Masked Wolf,1138474110,78.0,47.0,70.0,18.0,0.0,15.0,9.0
"Matuï¿½ï¿½, Wiu, ",187772591,78.0,63.0,64.0,1.0,0.0,7.0,4.0
"Mc Livinho, DJ Matt D",39709092,63.0,36.0,34.0,76.0,0.0,35.0,9.0
"Mc Pedrinho, DJ 900",11956641,93.0,68.0,65.0,42.0,0.0,12.0,25.0
"Mc Pedrinho, Pedro Sampaio",208166039,78.0,55.0,57.0,4.0,0.0,10.0,8.0
"Mc Vitin Da Igrejinha, MC Tairon, DJ Win",129314708,71.0,78.0,40.0,46.0,0.0,7.0,45.0
Meghan Trainor,502574952,84.0,88.0,53.0,35.0,0.0,8.0,7.0
Melanie Martinez,67070410,72.0,42.0,66.0,18.0,4.0,19.0,4.0
"Melody, Ana Castela, Dj Chris No Beat",191873381,77.0,74.0,74.0,47.0,0.0,34.0,8.0
Metallica,704171068,54.0,59.0,83.0,0.0,44.0,20.0,4.0
"Metro Boomin, Coi Leray",70106975,78.0,5.0,30.0,21.0,0.0,13.0,5.0
Michael Bublï¿,1283806731,50.0,54.0,35.0,89.0,0.0,19.0,3.5
"Migrantes, LiL CaKe, Nico Valdi",231332117,84.0,96.0,79.0,43.0,0.0,18.0,11.0
Miguel,950906471,68.0,51.0,60.0,3.0,0.0,19.0,10.0
Miley Cyrus,1887370770,69.0,57.0,66.0,8.0,0.0,6.5,5.0
Morgan Wallen,1666199217,58.90909090909091,60.45454545454545,77.27272727272727,21.0,0.0,23.454545454545453,3.272727272727273
"Morgan Wallen, Eric Church",58890931,50.0,49.0,76.0,12.0,0.0,12.0,3.0
Mr.Kitty,646886885,58.0,4.0,60.0,7.0,41.0,8.0,3.0
Muni Long,181328253,51.0,66.0,53.0,60.0,0.0,11.0,18.0
Musical Youth,195918494,73.0,88.0,67.0,20.0,0.0,32.0,5.0
Myke Towers,133716286,71.0,61.0,74.0,7.0,0.0,10.0,4.0
"Myke Towers, Quevedo",221409663,79.0,66.0,74.0,8.0,0.0,11.0,5.0
Mï¿½ï¿½ne,2675632206,65.5,64.75,72.25,3.25,0.0,18.5,4.5
"NEIKED, Mae Muller, Polo G",421040617,72.0,67.0,68.0,0.0,0.0,14.0,4.0
NF,52722996,73.0,22.0,86.0,31.0,0.0,12.0,4.0
NIKI,290228626,63.0,76.0,67.0,38.0,0.0,6.0,4.0
NLE Choppa,190490915,94.0,71.0,61.0,12.0,0.0,53.0,42.0
NMIXX,135444283,39.0,28.0,77.0,4.0,0.0,6.0,29.0
Nat King Cole,516799679,52.5,59.0,25.5,82.5,0.0,9.5,4.0
Natanael Cano,31873544,81.0,90.0,77.0,1.0,0.0,9.0,5.0
"Natanael Cano, Gabito Ballesteros, Peso Pluma",463564958,77.0,79.0,73.0,15.0,0.0,27.0,10.0
"Natanael Cano, Peso Pluma",436027885,78.0,89.0,83.0,10.0,0.0,12.0,5.0
Nayeon,213505179,80.0,36.0,86.0,4.0,0.0,3.0,5.0
"Nengo Flow, Anuel Aa, Chris Jedi, Chencho Corleone",333146475,80.0,77.0,85.0,11.0,0.0,17.0,14.0
"Nengo Flow, Bad Bunny",304118600,89.0,61.0,66.0,17.0,0.0,36.0,16.0
Nessa Barrett,131746175,44.0,44.0,67.0,7.0,0.0,12.0,13.0
New West,411747614,60.0,24.0,35.0,73.0,0.0,31.0,3.0
NewJeans,1544567007,76.66666666666667,57.5,75.66666666666667,26.5,0.0,14.166666666666666,9.0
Niall Horan,144584800,57.0,68.0,76.0,7.0,0.0,33.0,3.0
Nicki Minaj,510105069,82.5,60.0,81.0,9.0,0.0,21.0,25.0
"Nicki Minaj, Aqua, Ice Spice",65156199,77.0,75.0,58.0,52.0,0.0,23.0,25.0
"Nicki Minaj, Ice Spice",104992946,90.0,74.0,68.0,14.0,0.0,10.0,19.0
"Nicki Minaj, Lil Baby",146065318,86.5,64.5,60.5,26.5,0.0,12.5,22.5
"Nicky Jam, Feid",57945987,79.0,58.0,62.0,11.0,0.0,11.0,23.0
"Nicky Youre, Dazy",652704649,77.0,84.0,71.0,35.0,0.0,15.0,4.0
"Nile Rodgers, LE SSERAFIM",92035115,80.0,38.0,88.0,11.0,0.0,11.0,5.0
Nirvana,2058839789,48.0,40.5,55.5,37.0,21.0,11.0,5.0
"Offset, JID",24975653,83.0,25.0,69.0,4.0,0.0,23.0,12.0
"Olga Merediz, Stephanie Beatriz, Encanto - Cast",184937148,59.0,56.0,63.0,12.0,0.0,6.0,36.0
Oliver Tree,501541661,70.0,57.0,49.0,19.0,0.0,12.0,8.0
Olivia Rodrigo,7442148916,51.285714285714285,38.42857142857143,50.57142857142857,53.285714285714285,0.0,20.428571428571427,10.0
Omar Apollo,227918678,70.0,31.0,34.0,60.0,1.0,11.0,4.0
One Direction,1131090940,67.0,40.0,52.0,86.0,0.0,12.0,4.0
OneRepublic,3097149603,68.5,65.0,76.0,8.5,0.0,9.0,4.5
"Oscar Maydon, Junior H",307370144,70.0,37.0,54.0,6.0,0.0,9.0,8.0
"Ovy On The Drums, Quevedo",209106362,82.0,75.0,85.0,33.0,1.0,11.0,4.0
Oxlade,222410722,65.0,79.0,66.0,31.0,0.0,22.0,7.0
"Ozuna, Feid",674072710,90.0,40.0,59.0,0.0,0.0,10.0,29.0
"Ozuna, Shakira",380726517,87.0,82.0,70.0,42.0,0.0,21.0,5.0
"Ozuna, Tiago pzk",138334433,83.0,56.0,82.0,10.0,0.0,9.0,5.0
P!nk,134255790,64.0,25.0,89.0,0.0,0.0,15.0,9.0
"PSY, Suga",212109195,91.0,91.0,96.0,3.0,0.0,3.0,9.0
Paloma Faith,588955257,57.0,30.0,89.0,10.0,0.0,33.0,8.0
Panic! At The Disco,582863434,51.0,48.0,82.0,0.0,0.0,5.0,3.0
Paul McCartney,403939487,75.0,74.0,58.0,36.0,0.0,9.0,3.0
Paulo Londra,330227609,65.0,39.0,64.5,14.5,0.0,8.0,5.0
Peggy Gou,57876440,67.0,96.0,88.0,12.0,19.0,8.0,4.0
"Perry Como, The Fontane Sisters, Mitchell Ayres & His Orchestra",295998468,73.0,72.0,32.0,77.0,0.0,15.0,5.0
Peso Pluma,425400058,79.5,54.5,70.5,44.0,0.0,8.5,4.0
"Peso Pluma, Grupo Frontera",52294266,56.0,63.0,87.0,39.0,0.0,11.0,5.0
"Peso Pluma, Luis R Conriquez",295152154,77.0,71.0,75.0,33.0,1.0,13.0,4.0
"Peso Pluma, Yng Lvcas",553634067,81.0,56.0,48.0,21.0,0.0,8.0,33.0
"Pharrell Williams, Nile Rodgers, Daft Punk",933815613,79.0,87.0,81.0,4.0,0.0,10.0,4.0
"Pharrell Williams, Tyler, The Creator, 21 Savage",136676504,88.0,15.0,56.0,1.0,0.0,8.0,6.0
PinkPantheress,156338624,66.0,74.0,84.0,25.0,0.0,21.0,4.0
"PinkPantheress, Ice Spice",156338624,70.0,86.0,81.0,25.0,0.0,25.0,5.0
Plan B,540654286,84.0,52.0,77.0,12.0,0.0,7.0,4.0
Playboi Carti,506778838,79.0,56.0,91.0,26.0,0.0,13.0,21.0
PnB Rock,380319238,64.0,4.0,60.0,11.0,0.0,19.0,4.0
"Polima WestCoast, Pailita",307752576,80.0,26.0,85.0,23.0,0.0,11.0,21.0
Polo G,797402345,79.0,44.0,54.0,41.0,0.0,13.0,24.0
Post Malone,2319942143,58.666666666666664,48.0,79.33333333333333,8.0,0.0,18.666666666666668,4.333333333333333
"Post Malone, Doja Cat",609293408,74.0,43.0,69.0,12.0,0.0,12.0,7.0
"Post Malone, Roddy Ricch",271666301,50.0,39.0,78.0,4.0,0.0,11.0,33.0
"Post Malone, Swae Lee",2808096550,76.0,91.0,50.0,54.0,0.0,7.0,5.0
"Prezioso, Gabry Ponte, LUM!X",422691058,67.0,40.0,90.0,3.0,0.0,34.0,6.0
"Pritam, Arijit Singh, Amitabh Bhattacharya",366599607,58.0,44.0,57.0,57.0,0.0,10.0,3.0
Queen,2197010679,41.0,23.0,40.0,27.0,0.0,30.0,5.0
Quevedo,977071326,72.5,56.5,66.5,41.75,3.0,13.0,9.75
"Quevedo, Jhayco",61105704,80.0,33.0,70.0,22.0,0.0,9.0,4.0
"Quevedo, La Pantera, Juseph, Cruz Cafunï¿½ï¿½, Bï¿½ï¿½jo, Abhir Hathi",245400167,67.0,74.0,75.0,44.0,0.0,7.0,30.0
"RAYE, 070 Shake",716645106,49.0,31.5,75.5,11.5,0.0,9.0,15.5
RM,135611421,49.0,42.0,77.0,3.0,0.0,12.0,9.0
"RM, Colde",34502215,54.0,19.0,48.0,36.0,0.0,37.0,5.0
ROSALï¿½,907358070,74.0,67.0,62.5,15.5,0.0,12.5,18.5
Radiohead,1271293243,53.0,12.0,34.0,1.0,0.0,12.0,4.0
Raim Laode,137123880,70.0,35.0,41.0,41.0,0.0,10.0,3.0
Rauw Alejandro,1634602179,79.0,41.5,63.0,49.0,0.5,10.5,4.5
"Rauw Alejandro, Bizarrap",121168605,77.5,71.5,77.0,13.5,0.0,34.5,5.0
"Rauw Alejandro, ROSALï¿½",357925728,77.0,53.0,64.0,74.0,0.0,17.0,14.0
"Ray Dalton, Ryan Lewis, Macklemore",1953533826,63.0,88.0,93.0,3.0,0.0,10.0,8.0
Rels B,331511413,63.0,56.0,43.0,24.0,0.0,12.0,23.0
"Residente, Bizarrap",94616487,59.0,70.0,74.0,56.0,0.0,11.0,40.0
Rex Orange County,244928911,90.0,73.0,51.0,39.0,0.0,9.0,6.0
"Rich The Kid, Matuï¿",77233241,77.0,69.0,58.0,39.0,0.0,26.0,5.0
Rihanna,297328960,25.0,17.0,30.0,90.0,0.0,13.0,3.0
"Rihanna, Calvin Harris",1235005533,73.0,60.0,77.0,3.0,0.0,11.0,4.0
"Riton, Nightcrawlers, Mufasa & Hypeman, Dopamine",863756573,82.0,80.0,86.0,1.0,0.0,30.0,13.0
"Robin Schulz, Oliver Tree",497225336,59.0,20.0,74.0,1.0,0.0,15.0,5.0
Rosa Linn,1437674063,56.0,52.5,64.0,11.0,0.0,45.0,6.5
"Rosa Walton, Hallie Coggins",140430339,49.0,13.0,74.0,0.0,0.0,9.0,4.0
Ruth B.,1116995633,61.0,45.0,69.0,2.0,0.0,9.0,3.0
Ryan Castro,626026463,78.0,81.5,65.0,6.0,0.0,9.0,25.0
Rï¿½ï,445763624,81.0,82.0,78.0,38.0,0.0,12.0,4.0
"Rï¿½ï¿½ma, Selena G",899183384,80.0,82.0,80.0,43.0,0.0,14.0,4.0
SALES,156658366,73.0,31.0,45.0,85.0,24.0,11.0,3.0
SEVENTEEN,91221625,77.0,35.0,88.0,16.0,0.0,17.0,9.0
SZA,4557811204,57.94736842105263,45.94736842105263,52.68421052631579,45.526315789473685,2.0,19.789473684210527,9.894736842105264
"SZA, Doja Cat",1575467011,77.0,74.0,66.0,30.0,0.0,13.0,3.0
"SZA, Don Toliver",94005786,73.0,71.0,69.0,53.0,0.0,32.0,9.0
"SZA, Phoebe Bridgers",110073250,62.0,59.0,43.0,84.0,3.0,11.0,5.0
"SZA, Travis Scott",155653938,67.0,22.0,59.0,76.0,1.0,15.0,16.0
Sabrina Carpenter,342897938,74.0,68.0,68.0,3.0,0.0,26.0,4.0
"Sachin-Jigar, Shadab Faridi, Altamash Faridi, Amitabh Bhattacharya, Varun Jain",54225632,76.0,96.0,72.0,32.0,0.0,9.0,4.0
Sam Ryder,54682594,47.0,33.0,83.0,18.0,0.0,10.0,5.0
Sam Smith,1606986953,68.0,50.0,49.0,56.0,0.0,8.0,4.0
"Sam Smith, Calvin Harris, Jessie Reyez",103787664,70.0,84.0,90.0,17.0,0.0,41.0,6.0
"Sam Smith, Kim Petras",1230675890,71.0,24.0,47.0,1.0,0.0,27.0,9.0
"Schï¿½ï¿½rze, DJ R",130419412,44.0,41.0,92.0,0.0,0.0,44.0,7.0
Seafret,571386359,40.0,23.0,48.0,5.0,0.0,12.0,3.0
"Sean Paul, Dua Lipa",956865266,74.0,45.0,89.0,5.0,0.0,26.0,13.0
"Sean Paul, Feid",115010040,82.0,47.0,62.0,10.0,0.0,10.0,15.0
Sebastian Yatra,677953234,58.5,70.0,61.0,42.0,0.0,11.5,4.0
"Sebastian Yatra, Manuel Turizo, Beï¿½ï",90839753,82.0,89.0,85.0,4.0,0.0,23.0,6.0
"Sech, Bad Bunny, Mora",610045621,66.0,63.0,69.0,21.0,0.0,11.0,7.0
"Sech, Mora",184622518,68.0,45.0,71.0,18.0,0.0,11.0,25.0
Selena Gomez,91473363,60.0,24.0,39.0,57.0,0.0,8.0,3.0
"Semicenk, Doï¿½ï¿½u ",43522589,73.0,45.0,62.0,28.0,0.0,13.0,13.0
"Shae Gill, Ali Sethi",284249832,71.0,67.0,60.0,7.0,0.0,6.0,4.0
Shakin' Stevens,351636786,72.0,91.0,87.0,14.0,0.0,13.0,3.0
Shakira,123124076,75.0,35.0,48.0,84.0,0.0,10.0,12.0
"Shakira, Bizarrap",721975598,78.0,50.0,63.0,27.0,0.0,9.0,5.0
"Shakira, Rauw Alejandro",606361689,70.0,57.0,64.0,23.0,0.0,8.0,32.0
Shawn Mendes,2256812464,62.0,54.0,59.333333333333336,33.333333333333336,0.0,25.333333333333332,4.333333333333333
"Shawn Mendes, Camila Cabello",2484812918,76.0,77.0,52.0,4.0,0.0,8.0,3.0
Shubh,47956378,74.0,36.0,63.0,26.0,0.0,27.0,5.0
SiM,71014967,41.0,65.0,88.0,0.0,0.0,26.0,5.0
Sia,1629949620,59.5,30.0,64.5,29.5,0.0,9.5,5.5
Sidhu Moose Wala,183273246,68.0,54.0,76.0,21.0,0.0,11.0,20.0
Simone Mendes,153454328,59.0,63.0,89.0,18.0,0.0,80.0,9.0
"Skrillex, Flowdan, Fred again..",78489819,81.0,6.0,84.0,5.0,23.0,6.0,6.0
Sleepy hallow,624515457,78.0,65.0,52.0,46.0,0.0,12.0,31.0
"Sleepy hallow, 347aidan",160845341,81.0,68.0,58.0,83.0,0.0,11.0,34.0
"Snoop Dogg, BTS, Benny Blanco",219196651,77.0,94.0,87.0,2.0,0.0,23.0,12.0
Sofia Carson,97610446,56.0,43.0,53.0,24.0,0.0,12.0,4.0
"Sog, Ryan Castro, Peso Pluma",11599388,79.0,92.0,89.0,5.0,0.0,6.0,5.0
Southstar,154356956,66.0,24.0,58.0,17.0,0.0,19.0,5.0
"Stephanie Beatriz, Diane Guerrero",154797871,72.0,54.0,71.0,26.0,0.0,10.0,4.0
Stephen Sanchez,726434358,34.0,25.0,51.0,69.0,0.0,18.0,4.0
"Steve Aoki, Tini, La Joaqui",120972253,68.0,83.0,71.0,3.0,0.0,31.0,8.0
Steve Lacy,1945132459,54.333333333333336,56.0,53.333333333333336,50.333333333333336,21.0,20.0,5.666666666666667
Stray Kids,277731036,73.5,69.0,79.0,12.0,0.0,7.0,37.0
Stromae,108809090,56.0,58.0,55.0,35.0,0.0,23.0,11.0
"Styrx, utku INC, Thezth",90598517,65.0,49.0,80.0,22.0,4.0,7.0,5.0
Suki Waterhouse,184706613,37.0,27.0,56.0,8.0,0.0,13.0,3.0
Surf Curse,824420218,35.0,41.0,94.0,0.0,63.0,5.0,5.0
"Swae Lee, A Boogie Wit da Hoodie, Metro Boomin, NAV",109276132,63.0,22.0,54.0,46.0,0.0,12.0,8.0
"Swae Lee, Lil Wayne, Offset, Metro Boomin",86773632,61.0,20.0,48.0,21.0,0.0,12.0,6.0
"TAEYANG, Jimin",152850295,79.0,60.0,68.0,7.0,0.0,26.0,4.0
"TAEYANG, Lisa",76910644,76.0,26.0,70.0,1.0,0.0,41.0,6.0
"THE ANXIETY, Willow, Tyler Cole",530511203,77.0,40.0,47.0,2.0,0.0,9.0,3.0
TOMORROW X TOGETHER,107642809,71.0,83.0,89.0,1.0,0.0,17.0,9.0
TV Girl,466231982,56.0,57.0,87.0,0.0,1.0,10.0,4.0
TWICE,535379733,79.0,85.0,90.5,11.5,0.0,20.5,9.5
"Tainy, Bad Bunny",61245289,81.0,74.0,71.0,14.0,0.0,56.0,4.0
"Taiu, Milo j",248088961,84.0,96.0,71.0,18.0,0.0,34.0,17.0
Tate McRae,1523292028,62.5,36.5,50.5,40.0,0.0,10.5,4.5
Taylor Swift,14053658300,59.76470588235294,35.55882352941177,56.794117647058826,27.88235294117647,0.6764705882352942,15.411764705882353,7.382352941176471
"Taylor Swift, Ice Spice",46142772,62.0,7.0,62.0,6.0,0.0,58.0,6.0
"Taylor Swift, Lana Del Rey",323437194,66.0,19.0,32.0,69.0,0.0,12.0,4.0
Tears For Fears,1205951614,64.0,54.0,81.0,36.0,0.0,11.0,6.0
"The Chainsmokers, Coldplay",2204080728,61.0,47.0,65.0,3.0,0.0,17.0,4.0
"The Chainsmokers, Halsey",2591224264,75.0,64.0,52.0,41.0,0.0,11.0,3.0
The Goo Goo Dolls,1284942608,32.0,49.0,72.0,0.0,0.0,9.0,4.0
The Kid Laroi,392280108,52.0,33.5,53.0,40.5,0.0,10.0,5.5
The Killers,1806617704,35.0,24.0,93.0,0.0,0.0,10.0,8.0
The Neighbourhood,4010009939,59.0,36.666666666666664,63.666666666666664,5.666666666666667,5.666666666666667,12.333333333333334,3.0
The Police,1593270737,82.0,73.0,45.0,54.0,0.0,7.0,3.0
The Rare Occasions,421135627,31.0,30.0,88.0,7.0,0.0,8.0,8.0
The Ronettes,404664135,53.0,84.0,77.0,40.0,0.0,32.0,3.0
The Walters,972164968,58.0,46.0,67.0,65.0,0.0,13.0,4.0
The Weeknd,14185552870,57.68181818181818,42.27272727272727,63.90909090909091,20.59090909090909,1.4090909090909092,19.681818181818183,7.863636363636363
"The Weeknd, 21 Savage, Metro Boomin",843957510,71.0,17.0,61.0,36.0,0.0,8.0,5.0
"The Weeknd, Daft Punk",2565529693,68.0,49.0,59.0,16.0,0.0,13.0,28.0
"The Weeknd, Future",96180277,60.0,10.0,57.0,1.0,0.0,50.0,3.0
"The Weeknd, Gesaffelstein",1392204126,49.0,17.5,71.0,11.5,0.0,14.5,3.5
"The Weeknd, Lana Del Rey",611700552,59.0,52.0,48.0,38.0,5.0,10.0,11.0
"The Weeknd, Lil Wayne",91656026,75.0,85.0,84.0,10.0,0.0,31.0,19.0
"The Weeknd, Madonna, Playboi Carti",115364561,85.0,83.0,68.0,7.0,0.0,36.0,20.0
"The Weeknd, Post Malone",539595276,68.0,72.0,78.0,4.0,0.0,7.0,5.0
"The Weeknd, ROSALï¿½",374706940,77.0,82.0,30.0,95.0,0.0,13.0,5.0
"The Weeknd, Swedish House Mafia",611994237,56.0,16.0,67.0,0.0,0.0,11.0,4.0
"The Weeknd, Tyler, The Creator",88103848,41.0,27.0,64.0,36.0,0.0,60.0,3.0
ThxSoMch,605086148,71.5,61.0,68.0,7.0,11.0,11.0,6.5
Tini,217672943,91.0,63.0,58.0,52.0,0.0,31.0,22.0
"Tini, L-Gante",200972675,52.0,68.0,69.0,13.0,0.0,33.0,8.0
"Tini, Maria Becerra",596152090,85.0,92.0,54.0,16.0,0.0,29.0,7.0
